Brand,Description,Size,VendorNumber,VendorName,PONumber,PODate,ReceivingDate,InvoiceDate,PayDate,PurchasePrice,Quantity,Dollars,Classification
3348,Bombay Sapphire Gin,1.75L,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,22.38,4,89.52,1
6638,M & R Asti,1.5L,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,16.23,6,97.38,2
3348,Bombay Sapphire Gin,1.75L,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,22.38,18,402.84,1
3344,Bombay Sapphire Gin,750mL,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,14.49,72,1043.28,1
4245,Bacardi Superior Rum,750mL,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,7.93,12,95.16,1
3858,Grey Goose Vodka,750mL,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,17.77,95,1688.15,1
8653,M & R Extra Dry Vermouth,375mL,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,3.53,24,84.72,2
4066,Bacardi Oakheart Spiced Rum,1.75L,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,12.85,24,308.4,1
3782,Grey Goose Le Citron Vodka,750mL,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,18.89,6,113.34,1
4243,Bacardi Superior Rum,1.75L,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,14.49,5,72.45,1
4232,Castillo Silver Label Rum,Liter,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,6.48,10,64.8,1
3858,Grey Goose Vodka,750mL,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,17.77,68,1208.36,1
3858,Grey Goose Vodka,750mL,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,17.77,28,497.56,1
903,Bombay Sapphire Gin,Liter,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,18.79,12,225.48,1
4223,Bacardi Gold Rum,1.75L,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,14.92,5,74.6,1
4066,Bacardi Oakheart Spiced Rum,1.75L,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,12.85,6,77.1,1
4245,Bacardi Superior Rum,750mL,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,7.93,29,229.97,1
126,Grey Goose Vodka,Liter,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,20.14,11,221.54,1
2663,Dewars White Label,1.75L,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,21.42,5,107.1,1
4025,Bacardi Oakheart Spiced Rum,50mL,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,1.37,10,13.7,1
4404,Bacardi Gold Rum,375mL,480,BACARDI USA INC            ,8106,20/12/2015,03/01/2016,12/01/2016,05/02/2016,4.32,24,103.68,1
7977,M & R X Dry Vermouth,1.5L,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,7.49,6,44.94,1
4066,Bacardi Oakheart Spiced Rum,1.75L,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,12.85,11,141.35,1
8368,Bacardi Superior Rum,100mL,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,1.51,47,70.97,1
810,Bacardi Black Razz,750mL,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,7.19,11,79.09,1
3344,Bombay Sapphire Gin,750mL,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,14.49,48,695.52,1
4903,Bacardi Superior Rum,200mL,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,2.87,48,137.76,1
4903,Bacardi Superior Rum,200mL,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,2.87,48,137.76,1
4245,Bacardi Superior Rum,750mL,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,7.93,8,63.44,1
508,Bacardi Superior Rum,Liter,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,9.77,9,87.93,1
3343,Bombay Sapphire Gin,375mL,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,9.46,12,113.52,1
7221,M & R Sweet Vermouth,1.5L,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,6.86,5,34.3,2
4223,Bacardi Gold Rum,1.75L,480,BACARDI USA INC            ,8106,20/12/2015,03/01/2016,12/01/2016,05/02/2016,14.92,1,14.92,1
903,Bombay Sapphire Gin,Liter,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,18.79,2,37.58,1
4245,Bacardi Superior Rum,750mL,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,7.93,45,356.85,1
4226,Bacardi Superior Rum Trav,750mL,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,7.68,10,76.8,1
4227,Bacardi Superior Rum Trav,1.75L,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,14.17,462,6546.54,1
3961,Grey Goose La Poire Vodka,750mL,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,18.17,6,109.02,1
4243,Bacardi Superior Rum,1.75L,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,14.49,38,550.62,1
8617,Bacardi Black,750mL,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,7.19,12,86.28,1
